[15:00:35][no_game_date][defines.cpp:270]: 4469 defines loaded
[15:01:25][no_game_date][gamestate.cpp:2841]: Loaded 13439 provinces.
[15:01:34][no_game_date][gameapplication.cpp:2969]: Resetting game
[15:01:35][1936.01.01.12][history.cpp:165]: Executing History from -1.1.1.1 to  2.1.1.1
[15:01:36][1936.01.01.12][history.cpp:165]: Executing History from 2.1.1.1 to  1936.1.1.12
[15:02:27][1936.01.01.12][frontend.cpp:682]: 

		[[ Launching SINGLEPLAYER-game ]]
	Start-date: 1936.1.1.12

[15:02:32][1936.01.01.12][ingameidler.cpp:5175]: Start RestoreDeviceObjects
[15:02:41][1936.01.01.12][ingameidler.cpp:5325]: End RestoreDeviceObjects
[15:02:41][1936.01.01.12][effectbase.cpp:1783]: Something went wrong with the Conflict Risk stuff
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|NOR|7|2|2
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|DEN|9|2|2
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|BUL|10|3|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|POR|9|2|3
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|IRE|8|1|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|HUN|9|7|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|ETH|2|2|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|PER|9|3|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|MAL|1|0|1
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|INS|6|1|1
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:07:59][1936.05.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 May, 1936|AFA|0|0|0
[15:07:59][1936.05.01.01][effectbase.cpp:1799]: [15:08:08][1936.05.16.01][effectbase.cpp:1783]: Very cantons activated
[15:08:08][1936.05.16.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|ADT|153|60|34
[15:08:17][1936.06.01.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|SWE|19|3|4
[15:08:17][1936.06.01.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|LUX|3|1|0
[15:08:17][1936.06.01.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|BEL|13|6|0
[15:08:17][1936.06.01.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|HOL|15|6|1
[15:08:17][1936.06.01.01][effectbase.cpp:1799]: [15:08:17][1936.06.01.01][effectbase.cpp:1783]: HOI4_FACTORY_TRACKER| 1:00, 1 June, 1936|CZE|17|9|0
